Beauty and the Beast,['25000000' '0' '0' '0' '160000000'],"[3.77350553e+08 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.26288634e+09]","[ 3.52350553e+08 -2.50000000e+07 -2.50000000e+07 -2.50000000e+07
  1.23788634e+09]"
Beauty and the Beast,['25000000' '0' '0' '0' '160000000'],"[3.77350553e+08 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.26288634e+09]","[ 3.52350553e+08 -2.50000000e+07 -2.50000000e+07 -2.50000000e+07
  1.23788634e+09]"
Beauty and the Beast,['25000000' '0' '0' '0' '160000000'],"[3.77350553e+08 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.26288634e+09]","[ 3.52350553e+08 -2.50000000e+07 -2.50000000e+07 -2.50000000e+07
  1.23788634e+09]"
Beauty and the Beast,['25000000' '0' '0' '0' '160000000'],"[3.77350553e+08 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.26288634e+09]","[ 3.52350553e+08 -2.50000000e+07 -2.50000000e+07 -2.50000000e+07
  1.23788634e+09]"
Dances with Wolves,['22000000'],[4.24208848e+08],[4.02208848e+08]
Do the Right Thing,['6500000'],[37295445.],[30795445.]
Rain Man,['25000000'],[4.128e+08],[3.878e+08]
The Princess Bride,['16000000'],[30857814.],[14857814.]
Der Himmel �ber Berlin,['2500000'],[3200000.],[700000.]
The Terminator,['6400000'],[78371200.],[71971200.]
Gandhi,['22000000'],[77737889.],[55737889.]
Being There,['0'],[30177511.],[30177511.]
Annie Hall,['4000000'],[38251425.],[34251425.]
Jaws,['7000000'],[4.70654e+08],[4.63654e+08]
Dog Day Afternoon,['1800000'],[46665856.],[44865856.]
Young Frankenstein,['2800000'],[86273333.],[83473333.]
Papillon,['12000000'],[53267000.],[41267000.]
The Exorcist,['8000000'],[4.41306145e+08],[4.33306145e+08]
Sleuth,['0' '0'],[     0. 342835.],[     0. 342835.]
Sleuth,['0' '0'],[     0. 342835.],[     0. 342835.]
The Last Picture Show,['1300000'],[29133000.],[27833000.]
Fiddler on the Roof,['9000000'],[83304330.],[74304330.]
Il conformista,['750000'],[0.],[-750000.]
Butch Cassidy and the Sundance Kid,['6000000'],[1.02308889e+08],[96308889.]
Rosemary's Baby,['3200000' '0'],[33395426.        0.],[30195426. -3200000.]
Rosemary's Baby,['3200000' '0'],[33395426.        0.],[30195426. -3200000.]
Planet of the Apes,['5800000' '100000000'],[3.3395426e+07 3.6221174e+08],[2.7595426e+07 3.5641174e+08]
Planet of the Apes,['5800000' '100000000'],[3.3395426e+07 3.6221174e+08],[2.7595426e+07 3.5641174e+08]
The Graduate,['3000000'],[1.04945305e+08],[1.01945305e+08]
Who's Afraid of Virginia Woolf?,['7500000'],[33736689.],[26236689.]
The Sound of Music,['8200000'],[2.86214286e+08],[2.78014286e+08]
Doctor Zhivago,['11000000'],[1.11858363e+08],[1.00858363e+08]
Per un pugno di dollari,['200000'],[14500000.],[14300000.]
8�,['0'],[0.],[0.]
The Hustler,['2000000'],[7600000.],[5600000.]
La dolce vita,['0'],[19516000.],[19516000.]
Rio Bravo,['0'],[5800000.],[5800000.]
Anatomy of a Murder,['0'],[0.],[0.]
Touch of Evil,['829000'],[2247465.],[1418465.]
Cat on a Hot Tin Roof,['3000000'],[17570324.],[14570324.]
Sweet Smell of Success,['0'],[0.],[0.]
The Killing,['320000'],[0.],[-320000.]
The Night of the Hunter,['795000'],[0.],[-795000.]
Les diaboliques,['0'],[0.],[0.]
Stalag 17,['1661530'],[0.],[-1661530.]
Roman Holiday,['1500000'],[12000000.],[10500000.]
A Streetcar Named Desire,['1800000' '0' '0'],[8000000.       0.       0.],[ 6200000. -1800000. -1800000.]
A Streetcar Named Desire,['1800000' '0' '0'],[8000000.       0.       0.],[ 6200000. -1800000. -1800000.]
A Streetcar Named Desire,['1800000' '0' '0'],[8000000.       0.       0.],[ 6200000. -1800000. -1800000.]
In a Lonely Place,['0'],[0.],[0.]
Kind Hearts and Coronets,['0'],[0.],[0.]
Rope,['1500000'],[2200000.],[700000.]
Out of the Past,['0'],[0.],[0.]
Brief Encounter,['0'],[0.],[0.]
Laura,['1020000'],[2000000.],[980000.]
The Best Years of Our Lives,['2100000'],[23650000.],[21550000.]
Arsenic and Old Lace,['1120175'],[0.],[-1120175.]
The Maltese Falcon,['375000' '0'],[1000000.       0.],[ 625000. -375000.]
The Maltese Falcon,['375000' '0'],[1000000.       0.],[ 625000. -375000.]
The Grapes of Wrath,['750000'],[0.],[-750000.]
The Wizard of Oz,['2777000' '0'],[33754967.        0.],[30977967. -2777000.]
The Wizard of Oz,['2777000' '0'],[33754967.        0.],[30977967. -2777000.]
The Thin Man,['226408'],[1423000.],[1196592.]
All Quiet on the Western Front,['1250000' '0'],[0. 0.],[-1250000. -1250000.]
All Quiet on the Western Front,['1250000' '0'],[0. 0.],[-1250000. -1250000.]
Call Me by Your Name,['4696772'],[0.],[-4696772.]
"I, Daniel Blake",['0'],[260354.],[260354.]
Hunt for the Wilderpeople,['0'],[0.],[0.]
Captain Fantastic,['5000000'],[5879736.],[879736.]
Sing Street,['4000000'],[13624522.],[9624522.]
Thor: Ragnarok,['0'],[0.],[0.]
Nightcrawler,['8500000'],[38697217.],[30197217.]
Arrival,['47000000'],[2.03388186e+08],[1.56388186e+08]
Before Midnight,['3000000'],[11176469.],[8176469.]
X-Men: Days of Future Past,['250000000'],[7.47862775e+08],[4.97862775e+08]
The Artist,['15000000'],[1.33432856e+08],[1.18432856e+08]
Edge of Tomorrow,['178000000'],[3.70541256e+08],[1.92541256e+08]
